Cavité :	Scialet des Femmes Fortes
Système de coordonnées : LT 3
E	De	A	AZ	Pente	dH	L	Lh	Deb Tpf	Fin Tpf	L Ga	L Dr	H Sup	H Inf	Pente Calc	dH Calc	L Calc	Lh Calc	X	Y	Z	SLh	Suites	Commentaires
Coordonnées de l'entrée : 		Femmes Fortes																855540.0	3308200.0	1600.0			

Galerie :	Galerie Principale
Date du lever : 	18/09/2011	Déclinaison = 	0.78 °
Operateurs :	Yann Cairo	Jean-Paul Héreil
mesures des longueurs :	Lasermètre 
mesures des Azimuts :	Boussole Shunto	 en degrés
mesures des Pentes :	Clisimètre Shunto	 en degrés
	Femmes Fortes	>< 1	 252.0 °	 -43.0 °		3.33				0.5	0.5	0.8		 -43.0 °	-2.27	3.33	2.44	855537.7	3308199.3	1597.7	2.4		

	1	   2	 225.0 °	 -15.0 °		2.95				0.3	0.3	0.3	0.4	 -15.0 °	-0.76	2.95	2.85	855535.6	3308197.3	1597.0	5.3		

	2	   3	 270.0 °	 -47.0 °		3.00				0.3	0.3	0.8	0.7	 -47.0 °	-2.19	3.00	2.05	855533.6	3308197.3	1594.8	7.3		

	3	   4	 232.0 °	 -14.0 °		2.23				0.3	0.3	0.7	0.8	 -14.0 °	-0.54	2.23	2.16	855531.9	3308196.0	1594.2	9.5		

	4	   5	 266.0 °	 -17.0 °		2.63				2.0	0.3	0.2	1.2	 -17.0 °	-0.77	2.63	2.52	855529.4	3308195.9	1593.5	12.0		haut du puits

	5	   6	   0.0 °		-7.00					1.0	1.0	6.0		 -90.0 °	-7.00	7.00		855529.4	3308195.9	1586.5	12.0		puits du moteur à eau

	6	->  6-1	 312.0 °	 -20.0 °		3.00				0.3	0.3	0.3	0.3	 -20.0 °	-1.03	3.00	2.82	855527.3	3308197.8	1585.4	14.8		départ vers le puits

	6	->  6.2	 323.0 °	 -28.0 °		6.00				0.3	0.3	0.3	0.3	 -28.0 °	-2.82	6.00	5.30	855526.2	3308200.1	1583.6	17.3		regard sur le puits

	6	^   7	 295.0 °	  10.0 °		3.50				0.5	0.5	0.8		  10.0 °	0.61	3.50	3.45	855526.2	3308197.4	1587.1	15.5		

	7	->  7.1	 168.0 °	  43.0 °		6.00				0.4	0.4	1.4	0.8	  43.0 °	4.09	6.00	4.39	855527.1	3308193.1	1591.2	19.8		

	7	^   8	 278.0 °	   2.0 °		3.48					3.0	1.0		   2.0 °	0.12	3.48	3.48	855522.8	3308197.9	1587.2	18.9		haut du puits

	9	   8	 200.0 °	  58.0 °		8.15				1.8	1.9	6.0		 -58.0 °	-6.91	8.15	4.32	855524.3	3308201.9	1580.3	23.3		salle

	9	   10-haut	 268.0 °	 -30.0 °		5.80				0.5	0.5	0.8		 -30.0 °	-2.90	5.80	5.02	855519.3	3308201.8	1577.4	28.3		

	10-haut	   10-bas	   0.0 °		-5.00					2.0	1.0	5.8		 -90.0 °	-5.00	5.00		855519.3	3308201.8	1572.4	28.3		

	10-bas	   11	 345.0 °			2.90				0.2	0.2	0.4				2.90	2.90	855518.6	3308204.6	1572.4	31.2		

	11	   12	  55.0 °			1.50				0.2	0.2	0.3				1.50	1.50	855519.8	3308205.5	1572.4	32.7		méandre à élargir

