nom,x,y,z
Grande Combe (Gouffre de la) [F5],5.58177153835219,45.023014568487,1762
FJS 23 (Scialet) [F2],5.5824857,45.0320194,1602
Été Indien (Grotte de l'),5.574804526,45.00042609,2138
Arche (Scialet de l'),5.581614769,45.02247864,1781
Monique (Scialet) [T43],5.574648,45.006094,2017
Sans Fond (Scialet)-Arche de Noé,5.5771582,45.0026688,2102
T39,5.574856,45.004053,2043
T40,5.574483,45.005376,2012
T37,5.573447,45.005612,2012
T51,5.57445,45.006572,2005
T47,5.574275,45.00675,2006
Crimée (Scialet de) [YB 03 40],5.5800017,45.0267464,1656
Flippés (Scialet des),5.5820241,45.0226048,1770
SCV 92-FLT (Grotte),5.5830349,45.0137883,1877
F01 (Scialet) [F1] [CAF 159],5.580936,45.036329,1441
Coucou (Scialet du) [F3],5.5824836,45.0271764,1715
Agnès (Grotte),5.57963,45.00329,1989
Cappuccino (Grotte méandre),5.570103284,45.00262842,1913
T 41,5.57474,45.003885,2052
T 49,5.572965,45.005176,2033
T 38,5.574062,45.005803,2009
T 46,5.574476,45.006714,2008
Feutré (Scialet) [CAF 160],5.582087,45.0367004,1437
Vladimir (Grotte) [YB 3 39],5.5800942,45.0265463,1662
Femmes Fortes (Scialet des) [CAF 139],5.5799132,45.0284498,1607
Tout Fauge (Scialet) [YB 3 32],5.5772076,45.0278448,1598
Pleine Lune (Scialet),5.5787983,45.038386,1394
Isa (Scialet d'),5.5856584,45.0141651,1870
FJS P08,5.58548115,45.0336079,1615.868
